FileName_DAPI	FileName_DAPI_flatfield	FileName_Mts	Group_Index	Group_Number	ImageNumber	Intensity_MaxIntensity_Background_Mask	Intensity_MaxIntensity_MaskedMT_image	Intensity_MeanIntensity_Background_Mask	Intensity_MeanIntensity_MaskedMT_image	Intensity_MeanIntensity_Masked_Nuclei	Intensity_MedianIntensity_Background_Mask	Intensity_MedianIntensity_MaskedMT_image	Intensity_MinIntensity_Background_Mask	Intensity_MinIntensity_MaskedMT_image	Intensity_StdIntensity_Background_Mask	Intensity_StdIntensity_MaskedMT_image	Intensity_StdIntensity_Masked_Nuclei	Intensity_TotalArea_Background_Mask	Intensity_TotalArea_MaskedMT_image	Intensity_TotalArea_Masked_Nuclei	Intensity_TotalIntensity_Background_Mask	Intensity_TotalIntensity_MaskedMT_image	Intensity_TotalIntensity_Masked_Nuclei
Image021_ch00.tif	Image005_fh00.tif	Image021_ch01.tif	9	7	99	2.0	25.6667	1.0005110563	4.64161320722	38.0080233231	1.0	4.33333	0.0	1.33333	0.0226544	1.60129	9.30085	29672	467956	72632	29687.2	2.17207e+06	2.7606e+06
Image024_ch00.tif	Image005_fh00.tif	Image024_ch01.tif	10	7	100	2.33333	25.6667	1.00106310542	4.72956123917	44.8499712903	1.0	4.33333	0.0	1.33333	0.0249128	1.71855	11.1173	84033	483065	60955	84122.3	2.28469e+06	2.73383e+06
Image027_ch00.tif	Image005_fh00.tif	Image027_ch01.tif	11	7	101	3.0	25.3333	1.00246184004	4.23023322406	47.3728695742	1.0	4.0	0.0	1.33333	0.0460998	1.44466	10.5014	33932	474951	77684	34015.5	2.00915e+06	3.68011e+06
Image029_ch00.tif	Image005_fh00.tif	Image029_ch01.tif	12	7	102	3.33333	21.0	1.00703688261	5.11381411687	44.3800543683	1.0	4.66667	0.0	1.33333	0.0705457	1.67895	13.6988	26700	515270	84976	26887.9	2.635e+06	3.77124e+06
Image032_ch00.tif	Image005_fh00.tif	Image032_ch01.tif	13	7	103	3.0	11.6667	1.00150897615	3.42928440521	39.4347367331	1.0	3.33333	0.0	1.25	0.0312028	1.0983	9.34476	64647	534730	77241	64744.6	1.83374e+06	3.04598e+06
Image034_ch00.tif	Image005_fh00.tif	Image034_ch01.tif	14	7	104	4.33333	31.0	1.04610323306	4.95360539481	46.0603564259	1.0	4.33333	0.0	1.33333	0.163335	2.14829	12.6918	70850	448134	93652	74116.4	2.21988e+06	4.31364e+06
Image002_ch00.tif	Image005_fh00.tif	Image002_ch01.tif	1	8	105	2.0	6.0	1.00701508514	1.97735891283	44.1251262005	1.0	2.0	0.0	1.0	0.0514416	0.4278	10.1973	70707	482574	77258	71203.0	954222.0	3.40902e+06
Image004_ch00.tif	Image005_fh00.tif	Image004_ch01.tif	2	8	106	2.0	19.3333	1.00463982474	1.93653575368	43.5285026124	1.0	2.0	0.0	1.0	0.0418893	0.436997	10.0406	132144	393442	66222	132757.0	761915.0	2.88254e+06
Image006_ch00.tif	Image005_fh00.tif	Image006_ch01.tif	3	8	107	2.0	7.66667	1.00237760909	1.80266935662	56.5280049973	1.0	1.66667	0.0	1.0	0.0311698	0.407227	11.7972	188188	370328	71639	188635.0	667579.0	4.04961e+06
Image008_ch00.tif	Image005_fh00.tif	Image008_ch01.tif	4	8	108	2.0	8.0	1.02428448423	2.25733133932	51.7415736264	1.0	2.0	0.0	1.0	0.0894983	0.656844	15.5815	207381	376125	56875	212417.0	849039.0	2.9428e+06
